"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID"
"MYBL2",12.7586001369041,3.20576853474641,0.313611781903145,10.2220921525725,1.57895663441602e-24,1.16981739130614e-21,"4605"
"E2F1",8.89454887646053,2.54828182901412,0.255226594565174,9.98438988443033,1.78395156729172e-23,1.18008396176348e-20,"1869"
"CXCL10",11.1790717912957,3.76034876203254,0.399961529574732,9.40177613089643,5.36496646560567e-21,2.61499760199864e-18,"3627"
"MMP11",96.0832669144089,3.43454198153129,0.368719773408111,9.31477568936838,1.22210495847832e-20,5.52093366852083e-18,"4320"
"NUSAP1",16.4504658552971,2.39358290895129,0.258375594981612,9.26396670367274,1.96975245853551e-20,8.29176250840788e-18,"51203"
"PAQR4",20.0883176063183,2.56575121351903,0.277860417036125,9.2339572541038,2.60813914980442e-20,1.05017289853647e-17,"124222"
"MTHFD2",33.815814146102,1.86823619624149,0.203882784743319,9.16328565255534,5.03407339960675e-20,1.98385335122375e-17,"10797"
"TK1",25.2042593496847,2.61159089761797,0.28510712093168,9.16003391666875,5.18810087754208e-20,2.00195842612155e-17,"7083"
"CCNB1",9.96738915129223,2.35823209370233,0.267525318349008,8.81498658988912,1.19699388248732e-18,3.88960012130352e-16,"891"
"COL10A1",19.4188193323802,2.57651192652529,0.294594805193484,8.74595166344868,2.21143771462478e-18,6.71479497545578e-16,"1300"
"IDH2",79.5862531604443,1.59827323029789,0.183734775060937,8.69880636242002,3.35393265736789e-18,9.55716010457969e-16,"3418"
"PYCR1",39.2442789607373,2.52937202543445,0.292040224230775,8.66103986906852,4.67479990103419e-18,1.31191884495387e-15,"5831"
"PITX1",11.5915447255555,2.57125846476333,0.299652396527982,8.58080394001859,9.42123432766846e-18,2.56617797378052e-15,"5307"
"TROAP",10.9404119999772,2.14466110462418,0.254554096043693,8.42516831572042,3.60232033893128e-17,8.34027216471064e-15,"10024"
"LMNB1",21.5201808564828,1.75494216519916,0.20999632922798,8.35701353281242,6.43259236513098e-17,1.41838661651138e-14,"4001"
"CBX2",9.78883035990215,2.32282802014274,0.280274029969461,8.28770336087091,1.15456089769539e-16,2.40278392664202e-14,"84733"
"FN1",437.241668847654,2.35494529865941,0.285360628600517,8.25252351807844,1.55084366298919e-16,3.19163625843175e-14,"2335"
"SBK1",6.99886711606056,2.05796698471285,0.253301493507692,8.12457501222887,4.48932615460338e-16,8.23280188470929e-14,"388228"
"CXCL9",10.3217021913551,3.28808655202163,0.410753481482827,8.00501200903176,1.19455014279328e-15,2.02985850869882e-13,"4283"
